name,value,units,provenance,note,group,active,classification,source_path,justification,uncertainty,default_value,differs_from_default
constants.temperature_K,310.15,K,NEW_MODELING_DECISION,37 C reference temperature; protocol-specific temperature must replace it,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,37 C reference temperature; protocol-specific temperature must replace it,No justified numerical uncertainty interval established by this audit.,310.15,False
constants.gas_constant_J_mol_K,8.31446261815324,J mol^-1 K^-1,DERIVED_CONSTRAINT,CODATA exact/standard physical constant,whole_cell,True,physical_constant,src/modern_full_model/parameters.py,CODATA exact/standard physical constant,Not a fitted physiological parameter.,8.31446261815324,False
constants.faraday_C_mol,96485.33212,C mol^-1,DERIVED_CONSTRAINT,Faraday conversion between charge current and molar flux,whole_cell,True,physical_constant,src/modern_full_model/parameters.py,Faraday conversion between charge current and molar flux,Not a fitted physiological parameter.,96485.33212,False
acid_base.carbon_pka1,6.1,dimensionless (p-scale),PUBLISHED_MODEL,effective CO2/HCO3 pKa; temperature/context refinement required,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,effective CO2/HCO3 pKa; temperature/context refinement required Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,6.1,False
acid_base.carbon_pka2,10.3,dimensionless (p-scale),PUBLISHED_MODEL,effective HCO3/CO3 pKa; carbonate retained for charge closure,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,effective HCO3/CO3 pKa; carbonate retained for charge closure Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,10.3,False
acid_base.water_pkw,14.0,dimensionless (p-scale),PUBLISHED_MODEL,effective water ionization value; temperature refinement required,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,effective water ionization value; temperature refinement required Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,14.0,False
acid_base.cell_buffer_pka,7.0,dimensionless (p-scale),NEW_MODELING_DECISION,single effective non-carbonate buffer site; not identified,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,single effective non-carbonate buffer site; not identified,No justified numerical uncertainty interval established by this audit.,7.0,False
acid_base.lumen_buffer_pka,7.0,dimensionless (p-scale),NEW_MODELING_DECISION,irrelevant when luminal buffer amount is zero,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,irrelevant when luminal buffer amount is zero,No justified numerical uncertainty interval established by this audit.,7.0,False
acid_base.ph_lower,3.0,dimensionless (p-scale),NEW_MODELING_DECISION,"numerical speciation bracket, not a physiological gate",whole_cell,True,numerical_bracket,src/modern_full_model/parameters.py,"Numerical pH inversion bracket, not an experimental physiological limit.",No justified numerical uncertainty interval established by this audit.,3.0,False
acid_base.ph_upper,11.0,dimensionless (p-scale),NEW_MODELING_DECISION,"numerical speciation bracket, not a physiological gate",whole_cell,True,numerical_bracket,src/modern_full_model/parameters.py,"Numerical pH inversion bracket, not an experimental physiological limit.",No justified numerical uncertainty interval established by this audit.,11.0,False
