criterion,final_status,reason
H01,PASS,Holdout remained sealed from model generation and authorized reveal count is zero
H02,PASS,Regulatory families gains and timing panel were frozen from WT or declared assumptions
H03,PASS,S173 dependence was not promoted to direct phosphorylation
H04,PASS,R1 retained as smallest model and R2/R3 equivalence disclosed
H05,PASS,Dimensional ledger and physical-domain guards are tested
H06,PASS,Membrane signs and reversal tests pass
H07,PASS,Carbon and buffer accounting tests pass
H08,PASS,Species charge and current accounting tests pass
H09,FAIL,No native root passes the absolute one-SMG water-output scale
H10,PASS,Both membrane currents close independently
H11,PASS,Apical fractions remain assumption panels and conserve totals
H12,PASS,Seven-start confirmation and 33-start geometry retain all branches
H13,PASS,Radau BDF tolerance and nearby-state checks pass for WT dynamics
H14,PASS,Production passers have no arbitrary-bound hits
H15,PASS,Source-class hierarchy and stress directions were explicitly tested
H16,NOT_APPLICABLE,AE4 genotype evaluation prohibited after WT gate failure
H17,NOT_APPLICABLE,Replacement native AE2 evaluation prohibited after WT gate failure
H18,PASS,Simpler nests and R2 R3 isomorphism were retained explicitly
H19,PASS,All topology routing regulatory and nearby-state members were retained
H20,PASS,Claims remain scoped to the tested reconstruction and do not reject AE4 biology
H21,PASS,Physical time and inputs were frozen independently of knockout secretion
H22,FAIL,Absolute WT stimulated physiology fails before a normalized genotype ratio exists
H23,PASS,Cell and lumen nearby-state panels were run without selection
H24,PASS,Equation parameter and claim provenance are documented
