id,category,criterion,evidence_required,failure_condition,frozen_at_utc,pre_reveal_status,final_status
H01,holdout_firewall,"No held-out AE4-null secretion value or qualitative timing enters any objective; bound; prior; branch/root choice; input waveform; stopping rule; model-generation choice; or code constant before freeze.","Static scan; objective and configuration audit; provenance log; optimizer history.","Any direct or indirect target-derived dependency is found.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H02,regulatory_firewall,"cAMP/PKA/AE4 regulatory gains; delays; and time constants are fixed from WT/regulatory evidence independently of knockout secretion.","Regulatory fit inputs; frozen parameter manifest; reveal log.","A regulatory parameter or family is selected using knockout secretion behavior.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H03,claim_discipline,"S173A is represented only as dependence of the PKA-mediated effect unless direct phosphorylation is independently demonstrated.","Primary-source ledger; code comments; final claims.","S173 is treated as directly phosphorylated fact without direct evidence.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H04,regulatory_nesting,"Static/dynamic families and common-capacity/state-specific modulation are compared as nested alternatives; extra states/rates require discriminating WT evidence.","Nested fits; residuals; complexity decision log.","A flexible family is retained using knockout behavior or without WT discrimination.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H05,dimensions,"All states; parameters; rates; currents; molar fluxes; areas; volumes; and time conversions have compatible units; current-to-moles uses charge and Faraday exactly once.","Dimensional ledger; executable unit tests; conversion derivations.","Mismatch; missing/double Faraday factor; or uncertified physical time remains.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H06,signs_reversal,"Source directions and membrane signs follow a declared convention and pass independent reversal/equilibrium checks.","Source matrix; sign table; reversal tests.","A sign is arbitrary or produces wrong reversal.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H07,carbon_conservation,"Acid-base dynamics account for intracellular/luminal inorganic carbon; buffer binding; bath exchange; and advection without internal carbon creation.","Analytical carbon identity; closed/open-system numerical residuals.","Carbon residual exceeds declared tolerance after boundary fluxes.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H08,charge_conservation,"Species stoichiometry and current accounting conserve charge; electroneutral cycles have zero net transported charge.","Charge vector times source matrix; current residual tests.","Cycle charge or current residual exceeds tolerance.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H09,water_conservation,"Water law has compatible units; positive volumes; and closed compartment balance including outflow.","Water-balance derivation; positivity and scaling tests.","Internal water creation/loss; nonpositive volume; or unit inconsistency.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H10,membrane_closure,"Apical and basolateral current closure are each demonstrated.","Per-membrane current residuals at roots and trajectories.","Either membrane remains unbalanced in a state claimed closed.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
