capacity_coordinate,direct_same_system_measurement_interval,hard_inherited_bound,inherited_value,note,provenance,root_id,source_field,task18_role,units
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.007566880000000001,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
pump_basolateral,False,False,0.07243312,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_apical,False,False,5.6000000000000005e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_basolateral,False,False,8.399999999999999e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
CaCC,False,False,3.14e-08,apical Ca-activated Cl conductance,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,membranes.g_cl_apical_S,ADJUSTABLE,S
CO2_basolateral,False,False,0.02,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,homeostasis.co2_basolateral_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
CO2_apical,False,False,0.01,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,homeostasis.co2_apical_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
