record_id,kind,name,code_location,default_or_example,meaning,units,conversion_or_equation,dimensional_status,numerical_certification,provenance,acceptance_note
S001,state,na_i_fmol,states.CORE_STATE_NAMES,,intracellular sodium amount,fmol Na,"c_i_mM=n_i_fmol/V_i_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S002,state,k_i_fmol,states.CORE_STATE_NAMES,,intracellular potassium amount,fmol K,"c_i_mM=n_i_fmol/V_i_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S003,state,cl_i_fmol,states.CORE_STATE_NAMES,,intracellular chloride amount,fmol Cl,"c_i_mM=n_i_fmol/V_i_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S004,state,tic_i_fmol,states.CORE_STATE_NAMES,,intracellular total inorganic carbon amount,fmol carbon,"TIC=CO2+HCO3+CO3",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol carbon s^-1
S005,state,alk_i_fmol,states.CORE_STATE_NAMES,,intracellular total alkalinity amount,fmol charge equivalents,"TA=HCO3+2CO3+Bminus+OH-H",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol equivalents s^-1
S006,state,volume_i_pL,states.CORE_STATE_NAMES,,cell volume,pL,"dV_i/dt=q_b-q_a",EXACT,geometry uncalibrated,NEW_MODELING_DECISION,RHS must be pL s^-1
S007,state,na_l_fmol,states.CORE_STATE_NAMES,,local-lumen sodium amount,fmol Na,"c_l_mM=n_l_fmol/V_l_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S008,state,k_l_fmol,states.CORE_STATE_NAMES,,local-lumen potassium amount,fmol K,"c_l_mM=n_l_fmol/V_l_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S009,state,cl_l_fmol,states.CORE_STATE_NAMES,,local-lumen chloride amount,fmol Cl,"c_l_mM=n_l_fmol/V_l_pL",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol s^-1
S010,state,tic_l_fmol,states.CORE_STATE_NAMES,,local-lumen total inorganic carbon amount,fmol carbon,"TIC=CO2+HCO3+CO3",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol carbon s^-1
S011,state,alk_l_fmol,states.CORE_STATE_NAMES,,local-lumen total alkalinity amount,fmol charge equivalents,"TA=HCO3+2CO3+Bminus+OH-H",EXACT,coordinate only,DERIVED_CONSTRAINT,RHS must be fmol equivalents s^-1
S012,state,volume_l_pL,states.CORE_STATE_NAMES,,finite local-lumen volume,pL,"dV_l/dt=q_a+q_t-q_out",EXACT,geometry uncalibrated,NEW_MODELING_DECISION,RHS must be pL s^-1
O001,observable,cell/lumen na_mM,states.CompartmentConcentrations,,derived sodium concentration,mM,"n_fmol/V_pL",EXACT,depends on state,DERIVED_CONSTRAINT,"1 mM*pL=1 fmol"
O002,observable,cell/lumen k_mM,states.CompartmentConcentrations,,derived potassium concentration,mM,"n_fmol/V_pL",EXACT,depends on state,DERIVED_CONSTRAINT,"1 mM*pL=1 fmol"
O003,observable,cell/lumen cl_mM,states.CompartmentConcentrations,,derived chloride concentration,mM,"n_fmol/V_pL",EXACT,depends on state,DERIVED_CONSTRAINT,"1 mM*pL=1 fmol"
O004,observable,cell/lumen tic_mM,states.CompartmentConcentrations,,derived total inorganic carbon,mM,"n_fmol/V_pL",EXACT,depends on state,DERIVED_CONSTRAINT,"1 mM*pL=1 fmol"
O005,observable,cell/lumen alkalinity_mM,states.CompartmentConcentrations,,derived total alkalinity,mM equivalents,"n_equiv_fmol/V_pL",EXACT,depends on state,DERIVED_CONSTRAINT,"1 mM-equivalent*pL=1 fmol-equivalent"
O006,observable,pH,acid_base.AcidBaseSpeciation,,negative log10 hydrogen activity,dimensionless p-scale,"pH=-log10(a_H)",EXACT,effective chemistry uncalibrated,DERIVED_CONSTRAINT,never treat pH as a dimensional concentration
O007,observable,h_mM,acid_base.AcidBaseSpeciation,,free proton concentration,mM,"1000*10^(-pH)",EXACT,depends on ideal-activity closure,DERIVED_CONSTRAINT,standard concentration implicit in p-scale
O008,observable,oh_mM,acid_base.AcidBaseSpeciation,,hydroxide concentration,mM,"1000*10^(pH-pKw)",EXACT,pKw context uncalibrated,DERIVED_CONSTRAINT,temperature-dependent pKw required for acceptance
O009,observable,co2_mM,acid_base.AcidBaseSpeciation,,dissolved neutral carbon species concentration,mM,"alpha0*TIC",EXACT,pKa context uncalibrated,DERIVED_CONSTRAINT,algebraic fast-equilibrium observable
O010,observable,hco3_mM,acid_base.AcidBaseSpeciation,,bicarbonate concentration,mM,"alpha1*TIC",EXACT,pKa context uncalibrated,DERIVED_CONSTRAINT,algebraic fast-equilibrium observable
O011,observable,co3_mM,acid_base.AcidBaseSpeciation,,carbonate concentration,mM,"alpha2*TIC",EXACT,pKa context uncalibrated,DERIVED_CONSTRAINT,algebraic fast-equilibrium observable
O012,observable,buffer_h_mM,acid_base.AcidBaseSpeciation,,protonated effective buffer concentration,mM sites,"B_total-Bminus",EXACT,buffer model uncalibrated,NEW_MODELING_DECISION,finite buffer not infinite buffer
O013,observable,buffer_minus_mM,acid_base.AcidBaseSpeciation,,deprotonated effective buffer concentration,mM sites,"B_total/(1+10^(pKa-pH))",EXACT,buffer model uncalibrated,NEW_MODELING_DECISION,contributes one alkalinity equivalent per site
O014,observable,osm_cell_mOsm,water.OsmoticEnvironment,,cell osmolarity,mOsm L^-1,"Na+K+Cl+TIC+impermeant/V",DIMENSIONALLY_CLOSED,ideal dilute approximation,NEW_MODELING_DECISION,activity/osmotic coefficients omitted
O015,observable,osm_lumen_mOsm,water.OsmoticEnvironment,,lumen osmolarity,mOsm L^-1,"Na+K+Cl+TIC",DIMENSIONALLY_CLOSED,ideal dilute approximation,NEW_MODELING_DECISION,free H/OH omitted as negligible
O016,observable,osm_bath_mOsm,water.OsmoticEnvironment,,bath osmolarity,mOsm L^-1,"Na+K+Cl+TIC+untracked",DIMENSIONALLY_CLOSED,protocol composition uncalibrated,NEW_MODELING_DECISION,bath must be protocol matched
O017,observable,v_apical_V,membranes.MembraneFluxes,,cell-minus-lumen potential,V,"solve I_a-I_t=0",EXACT_WITHIN_ALGEBRAIC_CLOSURE,no capacitive calibration,DERIVED_CONSTRAINT,algebraic fast-electrical assumption
O018,observable,v_basolateral_V,membranes.MembraneFluxes,,cell-minus-bath potential,V,"solve I_b+I_t=0",EXACT_WITHIN_ALGEBRAIC_CLOSURE,no capacitive calibration,DERIVED_CONSTRAINT,algebraic fast-electrical assumption
O019,observable,v_transepithelial_V,membranes.MembraneFluxes,,lumen-minus-bath potential,V,"V_t=V_b-V_a",EXACT,depends on conductance calibration,DERIVED_CONSTRAINT,sign convention fixed
P001,parameter,constants.temperature_K,parameters.PhysicalConstants,310.15,reference absolute temperature,K,,DIMENSIONALLY_CERTIFIED,protocol-specific value not frozen,NEW_MODELING_DECISION,replace by assay/preparation temperature
P002,parameter,constants.gas_constant_J_mol_K,parameters.PhysicalConstants,8.31446261815324,molar gas constant,J mol^-1 K^-1,,CERTIFIED,physical constant,DERIVED_CONSTRAINT,use consistently with temperature and Faraday
P003,parameter,constants.faraday_C_mol,parameters.PhysicalConstants,96485.33212,Faraday constant,C mol^-1,,CERTIFIED,physical constant,DERIVED_CONSTRAINT,one mole monovalent charge equals F coulombs
P004,parameter,acid_base.carbon_pka1,parameters.AcidBaseParameters,6.10,first effective carbonate pKa,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,temperature/context not certified,PUBLISHED_MODEL,not a physical pH unit
P005,parameter,acid_base.carbon_pka2,parameters.AcidBaseParameters,10.30,second effective carbonate pKa,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,temperature/context not certified,PUBLISHED_MODEL,not a physical pH unit
P006,parameter,acid_base.water_pkw,parameters.AcidBaseParameters,14.00,water ionization pKw,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,temperature/context not certified,PUBLISHED_MODEL,not a physical pH unit
P007,parameter,acid_base.cell_buffer_pka,parameters.AcidBaseParameters,7.00,effective cell-buffer pKa,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,unidentified placeholder,NEW_MODELING_DECISION,must be bounded from WT buffer data
P008,parameter,acid_base.lumen_buffer_pka,parameters.AcidBaseParameters,7.00,effective lumen-buffer pKa,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,unidentified and presently negligible,NEW_MODELING_DECISION,remove or calibrate if lumen buffer retained
P009,parameter,acid_base.ph_lower,parameters.AcidBaseParameters,3.0,numerical pH bracket lower bound,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,numerical only,NEW_MODELING_DECISION,not a physiological gate
P010,parameter,acid_base.ph_upper,parameters.AcidBaseParameters,11.0,numerical pH bracket upper bound,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,numerical only,NEW_MODELING_DECISION,not a physiological gate
P011,parameter,bath.na_mM,parameters.BathParameters,145.0,open-bath sodium concentration,mM,,DIMENSIONALLY_CERTIFIED,protocol value not frozen,NEW_MODELING_DECISION,must match experiment
P012,parameter,bath.k_mM,parameters.BathParameters,5.0,open-bath potassium concentration,mM,,DIMENSIONALLY_CERTIFIED,protocol value not frozen,NEW_MODELING_DECISION,must match experiment
P013,parameter,bath.cl_mM,parameters.BathParameters,126.16159280366088,open-bath chloride concentration,mM,"Na+K-TA for reference electroneutrality",DIMENSIONALLY_CERTIFIED,derived from placeholder bath,DERIVED_CONSTRAINT,rederive after bath protocol is frozen
P014,parameter,bath.tic_mM,parameters.BathParameters,25.0,open-bath total inorganic carbon,mM,,DIMENSIONALLY_CERTIFIED,protocol value not frozen,NEW_MODELING_DECISION,must match gas/bicarbonate protocol
P015,parameter,bath.ph,parameters.BathParameters,7.40,open-bath pH,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,protocol value not frozen,NEW_MODELING_DECISION,must match experiment
P016,parameter,bath.buffer_total_mM,parameters.BathParameters,0.0,untracked noncarbonate bath-buffer concentration,mM sites,,DIMENSIONALLY_CERTIFIED,omitted by assumption,NEW_MODELING_DECISION,include only with explicit species accounting
P017,parameter,bath.untracked_osmolyte_mM,parameters.BathParameters,0.0,osmolarity correction,mOsm L^-1,,DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,must come from measured bath osmolarity
P018,parameter,geometry.cell_buffer_total_fmol,parameters.GeometryParameters,30.0,total effective cell-buffer sites,fmol sites,"B_total_mM=n_buffer_fmol/V_i_pL",DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,WT pH alone cannot identify it
P019,parameter,geometry.lumen_buffer_total_fmol,parameters.GeometryParameters,1e-9,total effective lumen-buffer sites,fmol sites,"B_total_mM=n_buffer_fmol/V_l_pL",DIMENSIONALLY_CERTIFIED,numerical near-zero limit,NEW_MODELING_DECISION,not a measurement
P020,parameter,geometry.fixed_cell_anion_equivalents_fmol,parameters.GeometryParameters,78.06176220594485,fixed intracellular negative charge,fmol charge equivalents,"Na+K-Cl-TA-X=0 at reference",DIMENSIONALLY_CERTIFIED,derived from placeholder reference,DERIVED_CONSTRAINT,rederive after accepted WT state
P021,parameter,geometry.cell_impermeant_osmoles_fmol,parameters.GeometryParameters,56.16159280366088,other cell-impermeant osmotic particles excluding finite buffer,fmol osmoles,"total_impermeant=other_impermeant+cell_buffer_total",DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,distinct from fixed charge equivalents and buffer particles
P022,parameter,homeostasis.nkcc1_capacity_fmol_s,parameters.HomeostasisParameters,0.08,NKCC1 maximum cycle-event rate,fmol cycles s^-1,"J=capacity*tanh(A/width)",DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,independent WT/transporter calibration required
P023,parameter,homeostasis.nhe1_capacity_fmol_s,parameters.HomeostasisParameters,0.02,NHE1 maximum cycle-event rate,fmol cycles s^-1,"J=capacity*tanh(A/width)",DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,independent WT acid-load calibration required
P024,parameter,homeostasis.ae2_capacity_fmol_s,parameters.HomeostasisParameters,0.005,AE2 maximum cycle-event rate,fmol cycles s^-1,"J=capacity*tanh(A/width)",DIMENSIONALLY_CERTIFIED,uncalibrated placeholder,NEW_MODELING_DECISION,AE2-null remains validation gate
P025,parameter,homeostasis.thermodynamic_saturation_log_width,parameters.HomeostasisParameters,2.0,saturation affinity width,dimensionless,"argument=A/width",EXACT_DIMENSION,unmeasured constitutive shape,NEW_MODELING_DECISION,cannot move thermodynamic reversal
P026,parameter,homeostasis.co2_basolateral_permeability_fmol_s_mM,parameters.HomeostasisParameters,0.02,whole-cell bath-to-cell CO2 exchange coefficient,fmol s^-1 mM^-1,"J=P*(CO2_bath-CO2_cell)",DIMENSIONALLY_CERTIFIED,uncalibrated absolute lump,NEW_MODELING_DECISION,membrane area is absorbed
P027,parameter,homeostasis.co2_apical_permeability_fmol_s_mM,parameters.HomeostasisParameters,0.01,whole-cell lumen-to-cell CO2 exchange coefficient,fmol s^-1 mM^-1,"J=P*(CO2_lumen-CO2_cell)",DIMENSIONALLY_CERTIFIED,uncalibrated absolute lump,NEW_MODELING_DECISION,membrane area is absorbed
P028,parameter,membranes.nak_capacity_fmol_s,parameters.MembraneParameters,0.08,total Na/K-pump cycle capacity,fmol cycles s^-1,"J_a+J_b from partitioned capacities and separate gates",DIMENSIONALLY_CERTIFIED,uncalibrated absolute lump,NEW_MODELING_DECISION,whole-cell not current density
P029,parameter,membranes.nak_na_half_mM,parameters.MembraneParameters,10.0,effective intracellular sodium half-saturation,mM,,DIMENSIONALLY_CERTIFIED,historical starting value not frozen,PUBLISHED_MODEL,assay/context map required
P030,parameter,membranes.nak_k_half_mM,parameters.MembraneParameters,1.5,effective extracellular potassium half-saturation,mM,,DIMENSIONALLY_CERTIFIED,historical starting value not frozen,PUBLISHED_MODEL,assay/context map required
P031,parameter,membranes.apical_pump_fraction,parameters.MembraneParameters,0.10,fraction of total pump capacity at apical membrane,dimensionless fraction,"capacity_a=f_p*capacity_total",EXACT_DIMENSION,localization supported but value unmeasured,NEW_MODELING_DECISION,not an area fraction or measured SMG fraction
P032,parameter,membranes.apical_k_fraction,parameters.MembraneParameters,0.10,fraction of Ca-activated K conductance at apical membrane,dimensionless fraction,"G_Ka=f_K*G_Ktotal",EXACT_DIMENSION,localization supported but value unmeasured,NEW_MODELING_DECISION,not an area fraction or measured SMG fraction
P033,parameter,membranes.g_k_total_S,parameters.MembraneParameters,4e-10,total whole-cell Ca-activated K conductance,S=A V^-1,"I=G*(V-E)",DIMENSIONALLY_CERTIFIED,uncalibrated absolute lump,NEW_MODELING_DECISION,area absorbed; do not insert current density directly
