parameter,value,unit,source,status
EC50_Na_effective,49.0,mM,E16-07,CAL-T regression summary
EC50_K_effective,62.0,mM,E16-07,CAL-T regression summary
Hill_Na_effective,2.0,dimensionless,E16-07,CAL-T regression summary; not site count
Hill_K_effective,1.8,dimensionless,E16-07,CAL-T regression summary; not site count
assay_Rmin_Na,0.3,1e-3 s^-1,E16-07,fixed assay observation-map nuisance; no zero-cation point
assay_Rmin_K,0.4,1e-3 s^-1,E16-07,fixed assay observation-map nuisance; no zero-cation point
PKA_recombinant_fold,1.25,fold,E21-03,assay-specific approximate CAL-T
common_barrier_gauge,0.1;1;10,multiplier,NEW sensitivity,unidentified microscopic gauge; not fitted
whole_cell_capacity,per-row attempted,chassis-native,E15-05,valid only if exact interior closure succeeds
f_P_apical_pump_fraction,0;0.2;0.4;0.398,dimensionless,"Almassy 2018 parotid topology; historical area sensitivity",NEW predeclared sensitivity; uncalibrated for mouse submandibular acini; never fit to null secretion
f_K_apical_K_fraction,0;0.2;0.4;0.398,dimensionless,"Almassy 2012/2018 parotid topology; published-model sensitivity",NEW predeclared sensitivity; 20-40 percent is not an experimental fraction; never fit to null secretion
total_NaK_pump_capacity,fixed Task-12 total,chassis-native,historical comparison chassis,redistributed as f_P and 1-f_P without increasing total capacity
total_K_conductance,fixed Task-12 total,chassis-native,historical comparison chassis,redistributed as f_K and 1-f_K without increasing total conductance
apical_pump_external_K,K_l,mM,local-substrate balance requirement,NEW equation choice required by apical topology; no fitted constant
basolateral_pump_external_K,K_e=5.3,mM,historical fixed bath,retained local basolateral substrate
apical_K_driving_force,V_a-E_K(K_l/K_i),mV,current and Nernst closure,NEW explicit local driving force; no fitted constant
basolateral_K_driving_force,V_b-E_K(K_e/K_i),mV,current and Nernst closure,retained local basolateral driving force
carbon_hydration_forward,k_h,rate constant,biochemical reaction structure,STRUCTURAL ONLY; numerical value unidentified in matched AE4-null protocol
carbon_hydration_reverse,k_d,rate constant,biochemical reaction structure,STRUCTURAL ONLY; numerical value unidentified in matched AE4-null protocol
buffer_dissociation,k_off,rate constant,conserved buffer reaction structure,STRUCTURAL ONLY; numerical value and total buffer pool unidentified
buffer_association,k_on,rate constant,conserved buffer reaction structure,STRUCTURAL ONLY; numerical value and total buffer pool unidentified
NHE1_regulation,shared genotype-invariant law,not_applicable,"E15-09; Evans 1999; Park 2001",restriction only; no AE4-null-specific multiplier and no new value calibrated
