root_id,selected_reference,profile_id,effective_calcium_uM,nkcc1_fully_activated_multiplier,source_defensibility_status,regulatory_member_count,solver_count,all_integrations_success,all_numerical_gates_pass,all_individual_shape_gates_pass,all_common_scale_member_gates_pass,common_scale_feasible_intersection,common_scale_feasible_lower_uL_min_per_pL_s,common_scale_feasible_upper_uL_min_per_pL_s,preferred_member_mean_scale_uL_min_per_pL_s,common_scale_selection_rule,common_scale_multiplier_uL_min_per_pL_s,common_scale_implied_effective_cell_count,implied_cell_count_status,ensemble_min_ratio,ensemble_max_ratio,ensemble_endpoint_cl_range_mM,ensemble_endpoint_ph_range,ensemble_endpoint_volume_range_pL,max_abs_radau_bdf_ratio_difference,g5_joint_group_gate_pass
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,16910.75566628126,17933.380727005417,17234.89717373195,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17234.89717373195,287248286.22886586,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0080614416764906,1.047751609172484,"[43.98838184337118, 47.474811564050945]","[6.877002395228104, 6.896947422956364]","[1.2110268058628937, 1.2597733750927396]",3.6107847378730185e-08,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,13841.324402865857,13358.675709405195,13306.900967012392,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13306.900967012392,221781682.78353986,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0922373752268246,1.1512555335510422,"[38.092180173886135, 40.67094875328755]","[6.861447175780664, 6.880481548078784]","[1.1399173665660476, 1.1722295094382467]",1.3605308657460569e-07,False
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,15036.615927162404,15505.766237499209,14996.327453973152,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15271.191082330806,254519851.3721801,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0269280675789014,1.0774927708086002,"[43.01729191452933, 46.333652969162664]","[6.874279178209516, 6.893785691119929]","[1.198636784238208, 1.2439628273580359]",6.551988129821495e-08,True
G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,16967.058726700587,17979.453082561748,17278.22485939262,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17278.22485939262,287970414.3232103,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.008658142842539,1.0485462146278604,"[44.136720208576584, 47.48102747113759]","[6.885587943127298, 6.9004233095943395]","[1.2175781917348516, 1.262208045630086]",3.960178851514229e-08,True
G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,13882.484099799723,13415.712215790378,13365.966377108363,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13365.966377108363,222766106.28513938,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0933685335222967,1.149207768987848,"[38.31129306828329, 40.76593621410829]","[6.872130638800542, 6.885898392458335]","[1.1481515712492174, 1.1772994410503201]",1.3706456836182213e-07,False
G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,15085.68938557001,15563.415816538389,15051.015538141142,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15324.552601054198,255409210.01756996,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.028722712433608,1.077005028295023,"[43.19847736921945, 46.36654108000521]","[6.883580694967417, 6.897993187111615]","[1.2059329327842656, 1.24726314269627]",6.824199139110476e-08,True
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,16778.56594820588,17873.906675770348,17174.002791965933,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17174.002791965933,286233379.8660989,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0076320627431423,1.0430204984384226,"[43.88664391585683, 47.52414765835096]","[6.870841030949206, 6.895156544725015]","[1.2034964881535533, 1.257585304606137]",2.8486664138682727e-08,True
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,13715.765201778238,13266.81032682106,13210.45416816677,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13210.45416816677,220174236.13611284,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0888256039926725,1.148711614332231,"[37.83898334834097, 40.58137519484096]","[6.8523256752140025, 6.876588082511048]","[1.1287488447278662, 1.1655260746385971]",1.2407588600993336e-07,False
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,14904.508622548847,15424.495383007932,14909.836444980187,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,14909.836444980187,248497274.0830031,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0229755358570474,1.0736536088431992,"[42.8652420279503, 46.356744674315635]","[6.867115802453123, 6.891237992328943]","[1.1898157558843403, 1.2405597224584957]",6.00234641989772e-08,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,True,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,17409.882081293552,18375.76159825075,17682.384170524714,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17682.384170524714,294706402.84207857,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.011136886338233,1.0527081188025944,"[43.791284804416875, 47.19942001889559]","[6.876553320719077, 6.896311893316295]","[1.20861643105516, 1.2560371206205019]",3.434815187830509e-08,True
