check_id,stage,challenge,method,domain_or_tolerance,result,disposition,strict_secretion_read,notes
G01,freeze,evidence boundary,"SHA-256 recomputation and fail-closed API test","exact hashes","evidence 48022d5f...5631 and question tree 34343e...19e unchanged","PASS",False,"calibration and Stage-B guards reject STRICT IDs"
G02,leakage,pre-reveal exposure,"code-path inspection plus CSV row audit","all Stage-A calibration/root/score/rejection rows","no strict-secretion target was available to an objective, bound, root selector, or gauge selector","PASS",False,"post-reveal target joins occur only after the original marker"
G03,chronology,post-reveal source amendment,"hash original table; preserve it; hash amended table","amendment A01","pre-reveal table hash 785d5c...a51f preserved; amended/current hash e4c269...7e40; survivors 5 to 5","PASS",False,"carbonate observable correction did not change Stage-A survivor set"
T01,transporter,wrong selected-branch observable,"direct CTMC source recomputation and regression test","SR2 shared 1:1:2 at 50 mM Na","assay rate equals positive total intracellular HCO3 source and materially differs from abs selected branch","PASS",False,"E16-07 measured alkalinization"
T02,transporter,carbonate HCO3-only artifact,"recompute alkalinity as HCO3+2CO3","SR4a gauges 0.1 and 1","finite EC50 about 49/62 mM but Hill about 1.11/1.13; still fails cooperative-shape gate","PASS",False,"SR4 remains unembeddable in bicarbonate-only fixed chassis; not claimed biologically absent"
T03,transporter,mutant overinterpretation,"inspect parameter mapping","T448I-T756A branch scales Na=1e-12 K=0.5","mutant hierarchy pass is imposed expressivity, not an out-of-sample prediction","CONDITIONAL",False,"cannot earn model selection by itself"
T04,transporter,complexity undercount,"enumerate fitted scalars and nuisances","all 33 amended rows","ledger now separates 4 or 5 numeric fitted values, 2 fixed Rmin nuisances, and 1 discrete gauge; comparison labeled non-AIC","PASS",False,"raw curve covariance and internal assay concentrations unavailable"
T05,transporter,sequential-fit optimizer branch,"independent joint least_squares over two energy lumps and K attempt scale","SR5 gauge=0.1; starts spanning 0.3 to 1e5 mM","joint optimum EC50=49/62, Hill=1.964684/1.985313, amplitude ratio=1, but salivary Cl source=-0.0111649851 per capacity","PASS",False,"sequential order can alter fit status but cannot repair the physiological source sign"
T06,transporter,unsupported barrier domain/source sign,"seed-1307 differential_evolution over four log parameters","842 evaluations; gauge 1e-4..1e4; energy lumps 0.1..1e6 mM; K scale exp(-8)..exp(8); broad EC50/Hill/Rmax gates","best gate-feasible Cl source=-1.75670e-5 per capacity at energy upper boundary; no positive-source point found","PASS_FINITE_DOMAIN",False,"strong numerical exclusion only; not a global proof"
T07,transporter,unmeasured intracellular assay context,"re-joint-fit g=0.1 at nine one-at-a-time tuples","Na_i 10..50; K_i 80..150; Cl_i 20..80; HCO3_i 5..20 mM","all broad dose gates retained; salivary Cl source range -0.0112520 to -0.0108454 per capacity","PASS_FINITE_SENSITIVITY",False,"selection remains conditional on the declared heterologous observation map"
T08,transporter,simpler scalar equivalence,"inspect adapter state and whole-cell RHS dimension","all QSS CTMC adapters","carrier occupancies are algebraic diagnostics and whole-cell state remains 7-D; exact static branch functions J_Na(x),J_K(x) reproduce the source","PASS",False,"state structure adds no carrier memory or physical delay"
T09,transporter,PKA bound/placement,"inspect all SR6 gauge rows","gamma constrained to <=1e6","some edge/gauge placements approach 9e5..1e6 and still miss 1.25-fold; surviving loaded-edge rows require gamma about 99 or 200","CONDITIONAL",False,"no direct S173 phosphorylation or activation time inferred"
S01,stage_a,failed WT capacity promoted as fit,"rerun all five survivor rows and inspect closure/bounds","derived height <200 um; raw closure <=1e-8 required","all attempts approach height 200 um with raw error about 3.05e-5 and are marked invalid","PASS",False,"attempted capacities are retained only as failed rows"
S02,stage_a,alternate bounded roots,"10-start production solve plus independent log-root route","declared height 2..200 um and positive reduced state","one distinct exact bounded root per attempted row; all fail WT pH by about 6.69 SEM","PASS_FINITE_DOMAIN",False,"no global uniqueness claim"
S03,stage_a,AE4-null candidate dependence,"exact knockout short circuit and raw-RHS crosscheck","all registered state graphs and gauges","maximum candidate discrepancy <=1e-14; common null root Cl=48.782215 mM pH=7.378474","PASS",False,"state structure cannot change the fixed-chassis knockout field"
S04,stage_a,remote root missed,"independent scipy.root in log coordinates; production RHS verification","unbounded positive state","exact asymptotic branch at height 1.25125249e14 um; second solver drifts to 7.69e14 um","PASS_EXCLUDED",False,"outside declared physiology; defeats only a global uniqueness claim"
