name,value,units,active,classification,justification,what_does_not_justify_it,uncertainty_status
constants.temperature_K,310.15,K,True,effective_assumption,37 C reference temperature; protocol-specific temperature must replace it,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
constants.gas_constant_J_mol_K,8.31446261815324,J mol^-1 K^-1,True,physical_constant,CODATA exact/standard physical constant,No physiological fitting or salivary uncertainty interval applies to a standard physical constant.,fixed_standard_constant_at_stored_precision
constants.faraday_C_mol,96485.33212,C mol^-1,True,physical_constant,Faraday conversion between charge current and molar flux,No physiological fitting or salivary uncertainty interval applies to a standard physical constant.,fixed_standard_constant_at_stored_precision
bath.na_mM,145.0,mM,True,effective_assumption,representative open-bath value; protocol ledger must replace it,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
bath.k_mM,5.0,mM,True,effective_assumption,representative open-bath value; protocol ledger must replace it,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
bath.cl_mM,126.16159280366088,mM,True,reference_constraint_derived,"Bath electroneutrality using the adopted bath sodium, potassium and carbonate speciation.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_derivation_no_experimental_interval
bath.tic_mM,25.0,mM,True,effective_assumption,open-bath total inorganic carbon starting value,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
bath.ph,7.4,dimensionless (p-scale),True,effective_assumption,representative bicarbonate-buffered bath value,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
bath.buffer_total_mM,0.0,mM sites,True,effective_assumption,"bath non-carbonate buffer omitted from exchanged species An exact zero is an explicit structural omission, not a small positive fitted value.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
bath.untracked_osmolyte_mM,0.0,mOsm L^-1,True,effective_assumption,"explicit correction only if protocol osmolarity requires it An exact zero is an explicit structural omission, not a small positive fitted value.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
geometry.cell_buffer_total_fmol,30.0,fmol sites,True,effective_assumption,effective finite buffer pool; must be WT-calibrated independently,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
geometry.lumen_buffer_total_fmol,1e-09,fmol sites,True,numerical_regularisation,"Positive approximation to no fixed luminal buffer. Its size is numerical, not measured.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
geometry.fixed_cell_anion_equivalents_fmol,78.06176220594485,fmol charge equivalents,True,reference_constraint_derived,"Derived from the reference initial cations, chloride and total alkalinity. Conditional on that reference tuple, not independently measured.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_derivation_no_experimental_interval
geometry.cell_impermeant_osmoles_fmol,124.69936937124379,fmol osmoles,True,inherited_effective_setting,"Active R09 background contains 124.69936937124379 fmol, not the dataclass default. An effective osmotic closure setting, not a directly measured molecular pool.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
homeostasis.nhe1_capacity_fmol_s,0.007440980590414482,fmol s^-1,False,inactive_legacy,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
homeostasis.nhe1_model,cha_2009_eight_state_mod2,model identifier,True,law_selection,Production explicitly selects Cha 2009 eight-state Mod2; the default field note refers to an older selection.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
homeostasis.nhe1_published_g_fmol_s,0.0305,fmol s^-1,False,inactive_legacy,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
homeostasis.nhe1_published_k_h_mM,0.00045,mM,False,inactive_legacy,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
homeostasis.nhe1_published_k_na_mM,15.0,mM,False,inactive_legacy,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
homeostasis.nhe1_cha_carrier_amount_fmol,2.339370005697548e-05,fmol of NHE1 carriers,True,WT_constraint_derived,One salivary carrier amount calibrated against a resting pH target 6.91 on the selected R09 background. It is not the cardiac carrier count or a direct salivary abundance measurement.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_derivation_no_experimental_interval
membranes.nak_capacity_fmol_s,0.08,fmol cycles s^-1,True,effective_assumption,total pump capacity shared between membranes,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.nak_na_half_mM,10.0,mM,True,inherited_model_setting,effective intracellular Na half-saturation starting value Source metadata identifies a model lineage; independent experimental measurement is not established here.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.nak_k_half_mM,1.5,mM,True,inherited_model_setting,effective extracellular K half-saturation starting value Source metadata identifies a model lineage; independent experimental measurement is not established here.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.apical_pump_fraction,0.075075,fraction,True,effective_assumption,apical localization is supported; quantitative fraction is not measured,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.apical_k_fraction,0.3,fraction,True,effective_assumption,apical K current is supported; quantitative fraction is not measured,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_k_total_S,1.4e-08,S,True,effective_assumption,total Ca-activated K conductance shared between membranes,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_cl_apical_S,3.14e-08,S,True,effective_assumption,apical Ca-activated Cl conductance,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.calcium_half_uM,0.26,uM,True,effective_assumption,"common test gating scale, not a frozen WT estimate",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.calcium_hill,1.46,dimensionless,True,effective_assumption,effective Ca gating exponent,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_para_na_S,3e-10,S,True,inherited_model_setting,historical-lineage paracellular Na pathway; value not frozen Source metadata identifies a model lineage; independent experimental measurement is not established here.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_para_k_S,5e-11,S,True,inherited_model_setting,historical-lineage paracellular K pathway; value not frozen Source metadata identifies a model lineage; independent experimental measurement is not established here.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_para_cl_S,2.5e-10,S,True,effective_assumption,charge-complete paracellular Cl pathway,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_para_hco3_S,5e-11,S,True,effective_assumption,charge-complete paracellular bicarbonate pathway,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_apical_background_S,0.0,S,True,effective_assumption,"zero preserves the exact no-apical-K nesting limit An exact zero is an explicit structural omission, not a small positive fitted value.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
membranes.g_basolateral_background_S,0.0,S,True,effective_assumption,"small K-selective regularizer; set zero only if closure remains nonsingular An exact zero is an explicit structural omission, not a small positive fitted value.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
water.apical_hydraulic_pL_s_mOsm,0.00432,pL s^-1 (mOsm L^-1)^-1,True,published_model_conversion,"Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
water.basolateral_hydraulic_pL_s_mOsm,0.0515,pL s^-1 (mOsm L^-1)^-1,True,published_model_conversion,"Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
water.paracellular_hydraulic_pL_s_mOsm,0.00026,pL s^-1 (mOsm L^-1)^-1,True,published_model_conversion,"Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
water.lumen_dead_volume_pL,0.1,pL,True,effective_assumption,non-draining local lumen volume,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
water.outflow_rate_s,0.2,s^-1,True,effective_assumption,"local compliance/outflow closure, not secretion calibration",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nbc.capacity_fmol_s,0.11570913197464398,fmol/s,True,WT_architecture_derived,"Derived from an assumed 70/30 positive chloride loading architecture at the Task 31 reference state, a 2.3 NHE1 multiplier and coupled electrical closure. Derived conditional on those assumptions, not measured or identified by knockout data.","The 70/30 partition is assumed, not measured. Solving the coupled current balance does not establish the physiological truth or unique identification of that partition.",conditional_derivation_no_experimental_interval
nbc.log_width,2.0,dimensionless,True,effective_assumption,Inherited NBC recruitment parameter; not an isoform-specific measurement.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nbc.resting_calcium_uM,0.058,uM,True,effective_assumption,Inherited NBC recruitment parameter; not an isoform-specific measurement.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nbc.fully_recruited_calcium_uM,0.25,uM,True,effective_assumption,Inherited NBC recruitment parameter; not an isoform-specific measurement.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nbc.nhe1_stimulated_multiplier,2.3,dimensionless,True,effective_assumption,Inherited source-fixed 2.3 multiplier. Fixing it before a test prevents retuning but does not make its transfer to this tissue/protocol uncertainty-free.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nkcc.alpha_eff_fmol_s,0.017334746894096052,fmol/s,True,WT_constraint_derived,"J_N,rest divided by the published shape at the accepted resting concentrations. The resting flux is itself an inherited model value, not a direct new measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_derivation_no_experimental_interval
nkcc.A1,157.5,dimensionless,True,published_kinetic_coefficient,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",Publication of the kinetic law does not measure salivary carrier abundance or establish an uncertainty interval for transfer to this preparation.,genuinely_unknown_for_physiological_transfer
nkcc.A2,2.0096e-05,mM^-4,True,published_kinetic_coefficient,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",Publication of the kinetic law does not measure salivary carrier abundance or establish an uncertainty interval for transfer to this preparation.,genuinely_unknown_for_physiological_transfer
nkcc.A3,1.0306,dimensionless,True,published_kinetic_coefficient,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",Publication of the kinetic law does not measure salivary carrier abundance or establish an uncertainty interval for transfer to this preparation.,genuinely_unknown_for_physiological_transfer
nkcc.A4,1.3852e-06,mM^-4,True,published_kinetic_coefficient,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",Publication of the kinetic law does not measure salivary carrier abundance or establish an uncertainty interval for transfer to this preparation.,genuinely_unknown_for_physiological_transfer
nkcc_activation.fully_activated_multiplier,1.75,dimensionless,True,inherited_effective_setting,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nkcc_activation.resting_calcium_uM,0.058,uM,True,inherited_effective_setting,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
