model_id,family,state_count,edge_count,branches,branch_charge_equivalents,pka_layered,explicit_carbonate,evidence_status,new_assumptions,stage_a_holdout_read_before_freeze
SR1_NA_112,SR1 minimal pure-Na 1:1:2,6,6,na,"{""na"": 0.0}",False,False,source-compatible candidate; microscopic rates not identified,composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling,False
SR1_K_112,SR1 minimal pure-K 1:1:2,6,6,k,"{""k"": 0.0}",False,False,source-compatible candidate; microscopic rates not identified,composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling,False
SR2_SHARED_112,SR2 shared-state Na/K 1:1:2,8,9,na;k,"{""k"": 0.0, ""na"": 0.0}",False,False,source-compatible candidate; microscopic rates not identified,composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling,False
SR2_SHARED_123,SR2 shared-state Na/K 1:2:3,8,9,na;k,"{""k"": 0.0, ""na"": 0.0}",False,False,source-compatible candidate; microscopic rates not identified,composite 2-cation-plus-3-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling,False
SR2_SHARED_213,SR2 shared-state Na/K 2:1:3,8,9,na;k,"{""k"": 0.0, ""na"": 0.0}",False,False,source-compatible candidate; microscopic rates not identified,composite 1-cation-plus-3-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling,False
SR3_SEQUENTIAL_1111,SR3 asymmetric Cl:Na:HCO3:K 1:1:1:1,6,6,sequential,"{""sequential"": 0.0}",False,False,2025 discussion hypothesis; not an established sole AE4 cycle,fixed six-state ordering proposed from a discussion-level mechanism;equal unmeasured state standard energies,False
SR4A_CARBONATE_111,SR4a shared-state Cl:cation:CO3 1:1:1,8,9,na;k,"{""k"": 0.0, ""na"": 0.0}",False,True,minimal explicit carbonate alternative; carbon species unmeasured,explicit CO3 rather than a hidden bicarbonate power;fast aqueous carbonate equilibrium requires a declared pKa2 and pH;equal unmeasured state standard energies,False
SR4B_CARBONATE_1112,SR4b asymmetric Cl:Na:CO3:K 1:1:1:2,6,6,co3,"{""co3"": 0.0}",False,True,2025 discussion hypothesis with explicit carbonate chemistry,fixed six-state ordering proposed from a discussion-level mechanism;equal unmeasured state standard energies,False
SR5_COORDINATION_112,SR5 shared-state Na/K with explicit catalytic cation occupancy,12,15,na;k,"{""k"": 0.0, ""na"": 0.0}",False,False,source-compatible cooperative extension; regulatory site is unmeasured,composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling;one nontransported external-reservoir cation catalytic occupancy per branch,False
SR6_PKA_EDGE_112,SR6 explicit U/P layers on SR5 with regulated loaded transitions,24,31,na;k,"{""k"": 0.0, ""na"": 0.0}",True,False,PKA-associated regulation supported; phosphorylation identity and kinetics unmeasured,"composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling;one nontransported external-reservoir cation catalytic occupancy per branch;U/P labels are an effective regulatory layer, not proof of direct phosphorylation;one cytosol-accessible Ei switching connection;loaded_flip placement of the regulated barrier",False
SR6_PKA_COMMON_FLIP_112,SR6 explicit U/P layers on SR5 with regulated common Cl transition,24,31,na;k,"{""k"": 0.0, ""na"": 0.0}",True,False,PKA-associated regulation supported; phosphorylation identity and kinetics unmeasured,"composite 1-cation-plus-2-bicarbonate loaded state;equal unmeasured state standard energies;unit attempt rates before lumped cation scaling;one nontransported external-reservoir cation catalytic occupancy per branch;U/P labels are an effective regulatory layer, not proof of direct phosphorylation;one cytosol-accessible Ei switching connection;common_cl_flip placement of the regulated barrier",False
